delivery_id,from_zone,to_zone,time_slot,traffic,weather,weight_kg,distance_km,actual_time_min
8f0bc9bd,ZoneA,ZoneB,Morning,Low,Rainy,1,2,4.6
c5ed3f00,ZoneA,ZoneB,Morning,Low,Rainy,1,10,23.48
437ddba3,ZoneA,ZoneB,Morning,Low,Rainy,1,20,38.88
4d91e518,ZoneA,ZoneB,Morning,Low,Rainy,1,30,67.09
d34e1eab,ZoneA,ZoneB,Morning,Low,Rainy,1,40,83.12
9c69c4a4,ZoneA,ZoneB,Morning,Low,Rainy,1,50,110.04
81a26e76,ZoneA,ZoneB,Morning,Low,Rainy,5,2,4.76
bb0926ed,ZoneA,ZoneB,Morning,Low,Rainy,5,10,19.71
9690c6c4,ZoneA,ZoneB,Morning,Low,Rainy,5,20,45.49
8dad24e4,ZoneA,ZoneB,Morning,Low,Rainy,5,30,60.97
acb072bb,ZoneA,ZoneB,Morning,Low,Rainy,5,40,93.38
25a1c7f8,ZoneA,ZoneB,Morning,Low,Rainy,5,50,125.28
b47ec0f8,ZoneA,ZoneB,Morning,Low,Rainy,10,2,4.5
0e19c0fd,ZoneA,ZoneB,Morning,Low,Rainy,10,10,22.73
c57d2bd2,ZoneA,ZoneB,Morning,Low,Rainy,10,20,46.24
a555011a,ZoneA,ZoneB,Morning,Low,Rainy,10,30,64.83
50f3d3bc,ZoneA,ZoneB,Morning,Low,Rainy,10,40,80.38
a64b5501,ZoneA,ZoneB,Morning,Low,Rainy,10,50,111.56
e4952dfe,ZoneA,ZoneB,Morning,Low,Rainy,15,2,5.48
700518a7,ZoneA,ZoneB,Morning,Low,Rainy,15,10,25.65
b96df67d,ZoneA,ZoneB,Morning,Low,Rainy,15,20,46.78
fe050455,ZoneA,ZoneB,Morning,Low,Rainy,15,30,74.9
17083c67,ZoneA,ZoneB,Morning,Low,Rainy,15,40,98.13
03565110,ZoneA,ZoneB,Morning,Low,Rainy,15,50,143.01
8eed5924,ZoneA,ZoneB,Morning,Low,Rainy,20,2,5.56
959b36f9,ZoneA,ZoneB,Morning,Low,Rainy,20,10,25.04
ccab8ccc,ZoneA,ZoneB,Morning,Low,Rainy,20,20,51.9
119a3e28,ZoneA,ZoneB,Morning,Low,Rainy,20,30,87.43
92c23ca6,ZoneA,ZoneB,Morning,Low,Rainy,20,40,104.03
155fb77b,ZoneA,ZoneB,Morning,Low,Rainy,20,50,129.16
6ec4eadb,ZoneA,ZoneB,Morning,Low,Foggy,1,2,5.22
6d023dbe,ZoneA,ZoneB,Morning,Low,Foggy,1,10,21.53
dcc7b377,ZoneA,ZoneB,Morning,Low,Foggy,1,20,41.83
ef7e4536,ZoneA,ZoneB,Morning,Low,Foggy,1,30,72.65
e77112db,ZoneA,ZoneB,Morning,Low,Foggy,1,40,88.16
60aa266f,ZoneA,ZoneB,Morning,Low,Foggy,1,50,112.92
f4ee91f7,ZoneA,ZoneB,Morning,Low,Foggy,5,2,5.69
47ef75c9,ZoneA,ZoneB,Morning,Low,Foggy,5,10,26.13
29472b08,ZoneA,ZoneB,Morning,Low,Foggy,5,20,54.13
31178a00,ZoneA,ZoneB,Morning,Low,Foggy,5,30,73.36
4b8789f8,ZoneA,ZoneB,Morning,Low,Foggy,5,40,92.54
54e27626,ZoneA,ZoneB,Morning,Low,Foggy,5,50,133.33
e57f47d9,ZoneA,ZoneB,Morning,Low,Foggy,10,2,5.04
4641366c,ZoneA,ZoneB,Morning,Low,Foggy,10,10,21.84
e65b5691,ZoneA,ZoneB,Morning,Low,Foggy,10,20,54.06
22443f98,ZoneA,ZoneB,Morning,Low,Foggy,10,30,78.69
9f0620e0,ZoneA,ZoneB,Morning,Low,Foggy,10,40,102.37
88fabc7b,ZoneA,ZoneB,Morning,Low,Foggy,10,50,109.02
b17f1ca3,ZoneA,ZoneB,Morning,Low,Foggy,15,2,5.56
5568d1ac,ZoneA,ZoneB,Morning,Low,Foggy,15,10,25.26
ebe64e24,ZoneA,ZoneB,Morning,Low,Foggy,15,20,59.37
83049e73,ZoneA,ZoneB,Morning,Low,Foggy,15,30,83.7
544bcb15,ZoneA,ZoneB,Morning,Low,Foggy,15,40,102.69
8728b9a0,ZoneA,ZoneB,Morning,Low,Foggy,15,50,137.12
6c8ae4b5,ZoneA,ZoneB,Morning,Low,Foggy,20,2,5.14
b0b7e5eb,ZoneA,ZoneB,Morning,Low,Foggy,20,10,29.32
f579ce4b,ZoneA,ZoneB,Morning,Low,Foggy,20,20,49.86
9ccabd09,ZoneA,ZoneB,Morning,Low,Foggy,20,30,91.68
2278d98b,ZoneA,ZoneB,Morning,Low,Foggy,20,40,117.96
a4187745,ZoneA,ZoneB,Morning,Low,Foggy,20,50,154.99
482fb433,ZoneA,ZoneB,Morning,Medium,Clear,1,2,3.92
b943161e,ZoneA,ZoneB,Morning,Medium,Clear,1,10,20.33
7225b63d,ZoneA,ZoneB,Morning,Medium,Clear,1,20,44.05
b81e28f2,ZoneA,ZoneB,Morning,Medium,Clear,1,30,55.3
91ac3281,ZoneA,ZoneB,Morning,Medium,Clear,1,40,79.35
0c1f2e9a,ZoneA,ZoneB,Morning,Medium,Clear,1,50,82.62
4c14e6b7,ZoneA,ZoneB,Morning,Medium,Clear,5,2,3.72
54884b6c,ZoneA,ZoneB,Morning,Medium,Clear,5,10,22.56
33316b36,ZoneA,ZoneB,Morning,Medium,Clear,5,20,42.11
6b5d8f3e,ZoneA,ZoneB,Morning,Medium,Clear,5,30,66.56
1efac82f,ZoneA,ZoneB,Morning,Medium,Clear,5,40,88.08
2e341357,ZoneA,ZoneB,Morning,Medium,Clear,5,50,107.88
cdb5142e,ZoneA,ZoneB,Morning,Medium,Clear,10,2,4.38
52387461,ZoneA,ZoneB,Morning,Medium,Clear,10,10,20.31
5bc9257b,ZoneA,ZoneB,Morning,Medium,Clear,10,20,44.18
07e52255,ZoneA,ZoneB,Morning,Medium,Clear,10,30,61.2
f67102f9,ZoneA,ZoneB,Morning,Medium,Clear,10,40,93.25
14a8e0ed,ZoneA,ZoneB,Morning,Medium,Clear,10,50,117.81
f1ea0aaa,ZoneA,ZoneB,Morning,Medium,Clear,15,2,4.38
0e612d0a,ZoneA,ZoneB,Morning,Medium,Clear,15,10,21.91
da248c56,ZoneA,ZoneB,Morning,Medium,Clear,15,20,42.14
8acba84d,ZoneA,ZoneB,Morning,Medium,Clear,15,30,55.25
5bb7220f,ZoneA,ZoneB,Morning,Medium,Clear,15,40,90.09
f095f244,ZoneA,ZoneB,Morning,Medium,Clear,15,50,117.12
903c650d,ZoneA,ZoneB,Morning,Medium,Clear,20,2,4.62
4b495c5f,ZoneA,ZoneB,Morning,Medium,Clear,20,10,23.87
fcdcae27,ZoneA,ZoneB,Morning,Medium,Clear,20,20,49.45
96e9547f,ZoneA,ZoneB,Morning,Medium,Clear,20,30,68.47
5a3ebf86,ZoneA,ZoneB,Morning,Medium,Clear,20,40,94.83
66db9cd6,ZoneA,ZoneB,Morning,Medium,Clear,20,50,115.42
3abd1ce6,ZoneA,ZoneB,Morning,Medium,Rainy,1,2,4.89
96b3b72a,ZoneA,ZoneB,Morning,Medium,Rainy,1,10,22.03
b1dc5c19,ZoneA,ZoneB,Morning,Medium,Rainy,1,20,44.87
7e3199ca,ZoneA,ZoneB,Morning,Medium,Rainy,1,30,88.26
22c0270a,ZoneA,ZoneB,Morning,Medium,Rainy,1,40,94.5
f72bd14b,ZoneA,ZoneB,Morning,Medium,Rainy,1,50,139.18
ec9776f9,ZoneA,ZoneB,Morning,Medium,Rainy,5,2,5.52
f8f40871,ZoneA,ZoneB,Morning,Medium,Rainy,5,10,25.97
32535efc,ZoneA,ZoneB,Morning,Medium,Rainy,5,20,56.76
6101f58d,ZoneA,ZoneB,Morning,Medium,Rainy,5,30,73.26
c1fabea5,ZoneA,ZoneB,Morning,Medium,Rainy,5,40,98.28
e79734e1,ZoneA,ZoneB,Morning,Medium,Rainy,5,50,121.37
94e836fc,ZoneA,ZoneB,Morning,Medium,Rainy,10,2,4.76
35a2ec7c,ZoneA,ZoneB,Morning,Medium,Rainy,10,10,28.63
d1799147,ZoneA,ZoneB,Morning,Medium,Rainy,10,20,44.22
c3f7f1fd,ZoneA,ZoneB,Morning,Medium,Rainy,10,30,81.45
e2277c65,ZoneA,ZoneB,Morning,Medium,Rainy,10,40,119.74
1f010289,ZoneA,ZoneB,Morning,Medium,Rainy,10,50,135.59
c0ebfa3a,ZoneA,ZoneB,Morning,Medium,Rainy,15,2,4.53
6f7bff14,ZoneA,ZoneB,Morning,Medium,Rainy,15,10,24.04
e607d07f,ZoneA,ZoneB,Morning,Medium,Rainy,15,20,53.46
6b75d036,ZoneA,ZoneB,Morning,Medium,Rainy,15,30,82.69
4b40f476,ZoneA,ZoneB,Morning,Medium,Rainy,15,40,116.53
b6b801da,ZoneA,ZoneB,Morning,Medium,Rainy,15,50,133.67
d8115f27,ZoneA,ZoneB,Morning,Medium,Rainy,20,2,5.57
df62eb1a,ZoneA,ZoneB,Morning,Medium,Rainy,20,10,29.87
817e0af4,ZoneA,ZoneB,Morning,Medium,Rainy,20,20,61.3
03a975ac,ZoneA,ZoneB,Morning,Medium,Rainy,20,30,89.48
83556520,ZoneA,ZoneB,Morning,Medium,Rainy,20,40,126.87
e8e58a67,ZoneA,ZoneB,Morning,Medium,Rainy,20,50,149.91
ed777652,ZoneA,ZoneB,Morning,Medium,Foggy,1,2,5.71
e5717329,ZoneA,ZoneB,Morning,Medium,Foggy,1,10,23.7
ff7ea2d7,ZoneA,ZoneB,Morning,Medium,Foggy,1,20,57.05
7909335c,ZoneA,ZoneB,Morning,Medium,Foggy,1,30,72.32
47ca0054,ZoneA,ZoneB,Morning,Medium,Foggy,1,40,88.58
698ee2d0,ZoneA,ZoneB,Morning,Medium,Foggy,1,50,115.02
46c2725b,ZoneA,ZoneB,Morning,Medium,Foggy,5,2,4.98
f2a9cd5d,ZoneA,ZoneB,Morning,Medium,Foggy,5,10,25.77
d8b7dcaa,ZoneA,ZoneB,Morning,Medium,Foggy,5,20,55.59
3a0ad2c4,ZoneA,ZoneB,Morning,Medium,Foggy,5,30,95.33
4f8c2195,ZoneA,ZoneB,Morning,Medium,Foggy,5,40,109.68
c11375ef,ZoneA,ZoneB,Morning,Medium,Foggy,5,50,145.44
08aa5024,ZoneA,ZoneB,Morning,Medium,Foggy,10,2,5.47
3773a331,ZoneA,ZoneB,Morning,Medium,Foggy,10,10,28.42
8fb1b2e5,ZoneA,ZoneB,Morning,Medium,Foggy,10,20,55.09
703013ee,ZoneA,ZoneB,Morning,Medium,Foggy,10,30,94.42
0e41596f,ZoneA,ZoneB,Morning,Medium,Foggy,10,40,111.36
c121a0a5,ZoneA,ZoneB,Morning,Medium,Foggy,10,50,139.9
b9bfd96d,ZoneA,ZoneB,Morning,Medium,Foggy,15,2,6.61
7158caee,ZoneA,ZoneB,Morning,Medium,Foggy,15,10,30.73
6ecb03ff,ZoneA,ZoneB,Morning,Medium,Foggy,15,20,58.82
90940965,ZoneA,ZoneB,Morning,Medium,Foggy,15,30,90.0
0fb4c7dc,ZoneA,ZoneB,Morning,Medium,Foggy,15,40,130.27
610c9cb3,ZoneA,ZoneB,Morning,Medium,Foggy,15,50,151.05
5ff18aff,ZoneA,ZoneB,Morning,Medium,Foggy,20,2,5.75
7a226a34,ZoneA,ZoneB,Morning,Medium,Foggy,20,10,33.33
cfa65af1,ZoneA,ZoneB,Morning,Medium,Foggy,20,20,60.18
c6dbbd0e,ZoneA,ZoneB,Morning,Medium,Foggy,20,30,88.86
a5f27bf2,ZoneA,ZoneB,Morning,Medium,Foggy,20,40,133.63
de9584c9,ZoneA,ZoneB,Morning,Medium,Foggy,20,50,169.9
94c0db00,ZoneA,ZoneB,Morning,High,Clear,1,2,5.09
2dcd8fef,ZoneA,ZoneB,Morning,High,Clear,1,10,26.84
e0303d2a,ZoneA,ZoneB,Morning,High,Clear,1,20,60.16
846c204e,ZoneA,ZoneB,Morning,High,Clear,1,30,82.29
f8cad0da,ZoneA,ZoneB,Morning,High,Clear,1,40,116.21
65e7b200,ZoneA,ZoneB,Morning,High,Clear,1,50,135.25
df67f660,ZoneA,ZoneB,Morning,High,Clear,5,2,5.15
761b1cd7,ZoneA,ZoneB,Morning,High,Clear,5,10,26.08
592fc300,ZoneA,ZoneB,Morning,High,Clear,5,20,53.8
be1b71eb,ZoneA,ZoneB,Morning,High,Clear,5,30,83.84
c39a4ff7,ZoneA,ZoneB,Morning,High,Clear,5,40,103.76
b40c93cc,ZoneA,ZoneB,Morning,High,Clear,5,50,136.15
8863fc75,ZoneA,ZoneB,Morning,High,Clear,10,2,4.52
d2ef21e4,ZoneA,ZoneB,Morning,High,Clear,10,10,28.97
97a0f71c,ZoneA,ZoneB,Morning,High,Clear,10,20,62.71
b4d90cba,ZoneA,ZoneB,Morning,High,Clear,10,30,100.11
4e4bf245,ZoneA,ZoneB,Morning,High,Clear,10,40,118.86
ae8b5a71,ZoneA,ZoneB,Morning,High,Clear,10,50,150.22
ead7e27e,ZoneA,ZoneB,Morning,High,Clear,15,2,6.05
cdbd7695,ZoneA,ZoneB,Morning,High,Clear,15,10,32.76
2e98833f,ZoneA,ZoneB,Morning,High,Clear,15,20,57.18
1cfe55be,ZoneA,ZoneB,Morning,High,Clear,15,30,84.59
7651a7ca,ZoneA,ZoneB,Morning,High,Clear,15,40,128.38
6cf0fea1,ZoneA,ZoneB,Morning,High,Clear,15,50,148.85
91447f65,ZoneA,ZoneB,Morning,High,Clear,20,2,6.39
74ffb6c9,ZoneA,ZoneB,Morning,High,Clear,20,10,30.73
bebb278e,ZoneA,ZoneB,Morning,High,Clear,20,20,59.71
4c3e79dc,ZoneA,ZoneB,Morning,High,Clear,20,30,94.1
16b52ce4,ZoneA,ZoneB,Morning,High,Clear,20,40,120.86
d05022da,ZoneA,ZoneB,Morning,High,Clear,20,50,149.83
3e40fcaf,ZoneA,ZoneB,Morning,High,Rainy,1,2,6.23
85ad69a1,ZoneA,ZoneB,Morning,High,Rainy,1,10,34.19
9291db42,ZoneA,ZoneB,Morning,High,Rainy,1,20,66.47
8ac67a76,ZoneA,ZoneB,Morning,High,Rainy,1,30,90.62
13171b4d,ZoneA,ZoneB,Morning,High,Rainy,1,40,125.93
141fe606,ZoneA,ZoneB,Morning,High,Rainy,1,50,162.37
b1390d0d,ZoneA,ZoneB,Morning,High,Rainy,5,2,7.22
fae11438,ZoneA,ZoneB,Morning,High,Rainy,5,10,33.31
b779812a,ZoneA,ZoneB,Morning,High,Rainy,5,20,63.61
b2a8f0af,ZoneA,ZoneB,Morning,High,Rainy,5,30,97.45
fe4e6ccb,ZoneA,ZoneB,Morning,High,Rainy,5,40,132.08
55069268,ZoneA,ZoneB,Morning,High,Rainy,5,50,164.84
9e3272a3,ZoneA,ZoneB,Morning,High,Rainy,10,2,5.63
57732acc,ZoneA,ZoneB,Morning,High,Rainy,10,10,34.12
11690426,ZoneA,ZoneB,Morning,High,Rainy,10,20,64.6
7691605a,ZoneA,ZoneB,Morning,High,Rainy,10,30,118.56
074e57a1,ZoneA,ZoneB,Morning,High,Rainy,10,40,138.31
b0f7f785,ZoneA,ZoneB,Morning,High,Rainy,10,50,190.7
2655268e,ZoneA,ZoneB,Morning,High,Rainy,15,2,6.23
3c708c32,ZoneA,ZoneB,Morning,High,Rainy,15,10,36.05
2b751d3d,ZoneA,ZoneB,Morning,High,Rainy,15,20,73.35
bf214f70,ZoneA,ZoneB,Morning,High,Rainy,15,30,121.91
92bcb5a4,ZoneA,ZoneB,Morning,High,Rainy,15,40,148.19
9563d4b0,ZoneA,ZoneB,Morning,High,Rainy,15,50,166.6
c176f3b4,ZoneA,ZoneB,Morning,High,Rainy,20,2,7.0
e5fd1bdb,ZoneA,ZoneB,Morning,High,Rainy,20,10,37.24
494bb957,ZoneA,ZoneB,Morning,High,Rainy,20,20,68.08
ee7ff7c7,ZoneA,ZoneB,Morning,High,Rainy,20,30,112.07
23d41045,ZoneA,ZoneB,Morning,High,Rainy,20,40,161.11
ff816f75,ZoneA,ZoneB,Morning,High,Rainy,20,50,174.94
498a32dd,ZoneA,ZoneB,Morning,High,Foggy,1,2,6.11
e3edee4c,ZoneA,ZoneB,Morning,High,Foggy,1,10,31.55
d960c5ce,ZoneA,ZoneB,Morning,High,Foggy,1,20,70.13
ef61b695,ZoneA,ZoneB,Morning,High,Foggy,1,30,97.26
c1014d7d,ZoneA,ZoneB,Morning,High,Foggy,1,40,142.39
41738fe9,ZoneA,ZoneB,Morning,High,Foggy,1,50,161.24
30bb7d8f,ZoneA,ZoneB,Morning,High,Foggy,5,2,7.43
63d2754a,ZoneA,ZoneB,Morning,High,Foggy,5,10,35.16
93ff6427,ZoneA,ZoneB,Morning,High,Foggy,5,20,65.55
b3a33d54,ZoneA,ZoneB,Morning,High,Foggy,5,30,105.59
5cd76feb,ZoneA,ZoneB,Morning,High,Foggy,5,40,133.3
22e71816,ZoneA,ZoneB,Morning,High,Foggy,5,50,177.25
5650f50f,ZoneA,ZoneB,Morning,High,Foggy,10,2,7.61
bc0492d1,ZoneA,ZoneB,Morning,High,Foggy,10,10,38.05
517f18e9,ZoneA,ZoneB,Morning,High,Foggy,10,20,70.43
a942f701,ZoneA,ZoneB,Morning,High,Foggy,10,30,115.65
18cef3fa,ZoneA,ZoneB,Morning,High,Foggy,10,40,139.99
021adde2,ZoneA,ZoneB,Morning,High,Foggy,10,50,185.82
3ec2ac83,ZoneA,ZoneB,Morning,High,Foggy,15,2,6.39
586b0315,ZoneA,ZoneB,Morning,High,Foggy,15,10,39.72
9759e31a,ZoneA,ZoneB,Morning,High,Foggy,15,20,77.91
a95bc62f,ZoneA,ZoneB,Morning,High,Foggy,15,30,128.6
90ba30f7,ZoneA,ZoneB,Morning,High,Foggy,15,40,177.05
aa73e9c1,ZoneA,ZoneB,Morning,High,Foggy,15,50,175.79
5fa78719,ZoneA,ZoneB,Morning,High,Foggy,20,2,8.76
9fc2adb5,ZoneA,ZoneB,Morning,High,Foggy,20,10,41.39
2ed10b49,ZoneA,ZoneB,Morning,High,Foggy,20,20,84.05
5843e92e,ZoneA,ZoneB,Morning,High,Foggy,20,30,121.79
e989d53c,ZoneA,ZoneB,Morning,High,Foggy,20,40,145.01
819efd25,ZoneA,ZoneB,Morning,High,Foggy,20,50,207.74
f66f043a,ZoneA,ZoneB,Afternoon,Low,Clear,1,2,3.66
d76193ce,ZoneA,ZoneB,Afternoon,Low,Clear,1,10,18.37
8a25e6b4,ZoneA,ZoneB,Afternoon,Low,Clear,1,20,36.67
05296c2d,ZoneA,ZoneB,Afternoon,Low,Clear,1,30,53.01
38ccf761,ZoneA,ZoneB,Afternoon,Low,Clear,1,40,85.06
5efc5956,ZoneA,ZoneB,Afternoon,Low,Clear,1,50,85.92
0ecf9743,ZoneA,ZoneB,Afternoon,Low,Clear,5,2,3.41
fce23aa9,ZoneA,ZoneB,Afternoon,Low,Clear,5,10,17.65
ecec52d4,ZoneA,ZoneB,Afternoon,Low,Clear,5,20,34.84
d80af7a6,ZoneA,ZoneB,Afternoon,Low,Clear,5,30,60.57
338eeda0,ZoneA,ZoneB,Afternoon,Low,Clear,5,40,76.29
54901976,ZoneA,ZoneB,Afternoon,Low,Clear,5,50,82.4
aa041374,ZoneA,ZoneB,Afternoon,Low,Clear,10,2,3.97
0ac81a6e,ZoneA,ZoneB,Afternoon,Low,Clear,10,10,19.71
7052bd0f,ZoneA,ZoneB,Afternoon,Low,Clear,10,20,35.61
ff930c7c,ZoneA,ZoneB,Afternoon,Low,Clear,10,30,60.22
424ce963,ZoneA,ZoneB,Afternoon,Low,Clear,10,40,79.15
360c577a,ZoneA,ZoneB,Afternoon,Low,Clear,10,50,91.9
b4c80c42,ZoneA,ZoneB,Afternoon,Low,Clear,15,2,4.3
e9bac918,ZoneA,ZoneB,Afternoon,Low,Clear,15,10,20.2
e26b57cb,ZoneA,ZoneB,Afternoon,Low,Clear,15,20,40.93
c04bc48c,ZoneA,ZoneB,Afternoon,Low,Clear,15,30,64.28
f51092a0,ZoneA,ZoneB,Afternoon,Low,Clear,15,40,98.89
d83a7cb3,ZoneA,ZoneB,Afternoon,Low,Clear,15,50,97.5
cd301591,ZoneA,ZoneB,Afternoon,Low,Clear,20,2,4.2
b2f34c24,ZoneA,ZoneB,Afternoon,Low,Clear,20,10,20.68
ee269c61,ZoneA,ZoneB,Afternoon,Low,Clear,20,20,49.98
401bd0a6,ZoneA,ZoneB,Afternoon,Low,Clear,20,30,49.98
6f9796f8,ZoneA,ZoneB,Afternoon,Low,Clear,20,40,83.01
5ec379fb,ZoneA,ZoneB,Afternoon,Low,Clear,20,50,106.32
b512c370,ZoneA,ZoneB,Afternoon,Low,Rainy,1,2,4.68
f681c732,ZoneA,ZoneB,Afternoon,Low,Rainy,1,10,21.94
f1cf7dc8,ZoneA,ZoneB,Afternoon,Low,Rainy,1,20,43.83
e4b2348b,ZoneA,ZoneB,Afternoon,Low,Rainy,1,30,64.54
7afdbf7e,ZoneA,ZoneB,Afternoon,Low,Rainy,1,40,85.79
e28d202a,ZoneA,ZoneB,Afternoon,Low,Rainy,1,50,102.79
c64284e5,ZoneA,ZoneB,Afternoon,Low,Rainy,5,2,4.5
24b74ac3,ZoneA,ZoneB,Afternoon,Low,Rainy,5,10,23.98
4c2e091b,ZoneA,ZoneB,Afternoon,Low,Rainy,5,20,37.31
f961aeda,ZoneA,ZoneB,Afternoon,Low,Rainy,5,30,71.33
7371de81,ZoneA,ZoneB,Afternoon,Low,Rainy,5,40,98.74
a6378fa7,ZoneA,ZoneB,Afternoon,Low,Rainy,5,50,110.75
d5485ded,ZoneA,ZoneB,Afternoon,Low,Rainy,10,2,4.87
cc260a7d,ZoneA,ZoneB,Afternoon,Low,Rainy,10,10,22.31
f5e3c1a4,ZoneA,ZoneB,Afternoon,Low,Rainy,10,20,47.41
884c97df,ZoneA,ZoneB,Afternoon,Low,Rainy,10,30,72.08
11375567,ZoneA,ZoneB,Afternoon,Low,Rainy,10,40,108.19
664e1339,ZoneA,ZoneB,Afternoon,Low,Rainy,10,50,131.39
51a59a96,ZoneA,ZoneB,Afternoon,Low,Rainy,15,2,4.57
d2f59c6a,ZoneA,ZoneB,Afternoon,Low,Rainy,15,10,25.23
e742376c,ZoneA,ZoneB,Afternoon,Low,Rainy,15,20,42.9
a4eeea7b,ZoneA,ZoneB,Afternoon,Low,Rainy,15,30,74.16
d4a11146,ZoneA,ZoneB,Afternoon,Low,Rainy,15,40,101.74
f48090c0,ZoneA,ZoneB,Afternoon,Low,Rainy,15,50,128.35
ba7b5787,ZoneA,ZoneB,Afternoon,Low,Rainy,20,2,4.55
4ba3d6ae,ZoneA,ZoneB,Afternoon,Low,Rainy,20,10,24.43
e8b16c93,ZoneA,ZoneB,Afternoon,Low,Rainy,20,20,50.81
0579d35b,ZoneA,ZoneB,Afternoon,Low,Rainy,20,30,86.24
d10df053,ZoneA,ZoneB,Afternoon,Low,Rainy,20,40,87.22
b441f47c,ZoneA,ZoneB,Afternoon,Low,Rainy,20,50,132.99
1e46c169,ZoneA,ZoneB,Afternoon,Low,Foggy,1,2,4.67
3d84c717,ZoneA,ZoneB,Afternoon,Low,Foggy,1,10,24.11
4edab193,ZoneA,ZoneB,Afternoon,Low,Foggy,1,20,50.0
ac731035,ZoneA,ZoneB,Afternoon,Low,Foggy,1,30,68.24
46e9675b,ZoneA,ZoneB,Afternoon,Low,Foggy,1,40,91.76
cd9fae47,ZoneA,ZoneB,Afternoon,Low,Foggy,1,50,121.77
f9b185b6,ZoneA,ZoneB,Afternoon,Low,Foggy,5,2,5.22
5c403b5d,ZoneA,ZoneB,Afternoon,Low,Foggy,5,10,23.68
6ad76576,ZoneA,ZoneB,Afternoon,Low,Foggy,5,20,51.12
0431fb23,ZoneA,ZoneB,Afternoon,Low,Foggy,5,30,70.84
3e2e19b4,ZoneA,ZoneB,Afternoon,Low,Foggy,5,40,90.64
c1183919,ZoneA,ZoneB,Afternoon,Low,Foggy,5,50,124.04
dcf7f475,ZoneA,ZoneB,Afternoon,Low,Foggy,10,2,5.26
75573a56,ZoneA,ZoneB,Afternoon,Low,Foggy,10,10,25.1
54e613f5,ZoneA,ZoneB,Afternoon,Low,Foggy,10,20,49.88
098b14c2,ZoneA,ZoneB,Afternoon,Low,Foggy,10,30,85.13
007f2c0d,ZoneA,ZoneB,Afternoon,Low,Foggy,10,40,99.03
81fe4df0,ZoneA,ZoneB,Afternoon,Low,Foggy,10,50,133.24
04f2ac8d,ZoneA,ZoneB,Afternoon,Low,Foggy,15,2,6.02
ef6adc90,ZoneA,ZoneB,Afternoon,Low,Foggy,15,10,28.18
06ce466d,ZoneA,ZoneB,Afternoon,Low,Foggy,15,20,57.86
9b9f8707,ZoneA,ZoneB,Afternoon,Low,Foggy,15,30,75.89
70b739cc,ZoneA,ZoneB,Afternoon,Low,Foggy,15,40,116.51
ea123fa2,ZoneA,ZoneB,Afternoon,Low,Foggy,15,50,150.62
26835f28,ZoneA,ZoneB,Afternoon,Low,Foggy,20,2,5.54
70323690,ZoneA,ZoneB,Afternoon,Low,Foggy,20,10,25.82
bdc70d7b,ZoneA,ZoneB,Afternoon,Low,Foggy,20,20,52.23
4af8ae6d,ZoneA,ZoneB,Afternoon,Low,Foggy,20,30,71.43
a4526b52,ZoneA,ZoneB,Afternoon,Low,Foggy,20,40,107.01
